Year,Country / territory of asylum/residence,Origin,RSD procedure type / level,Tota pending start-year,of which UNHCR-assisted(start-year),Applied during year,decisions_recognized,decisions_other,Rejected,Otherwise closed,Total decisions,Total pending end-year,of which UNHCR-assisted(end-year)
2000,Belgium,Afghanistan,G / FI,0.0,0,861,46,0,22,0,68,0,0
2000,Azerbaijan,Afghanistan,U / FI,216.0,78,902,239,0,24,12,275,843,300
2000,Austria,Afghanistan,G / FA,0.0,0,4205,295,0,217,3343,3855,0,0
2000,Albania,Afghanistan,G / FI,0.0,0,4,0,0,0,4,4,0,0
2000,Ukraine,Angola,G / FI,0.0,0,19,3,0,16,0,19,0,0
2000,Sweden,Angola,G / AR,0.0,0,0,0,0,1,0,1,0,0
2000,Sweden,Angola,G / FI,0.0,0,0,0,1,1,0,2,0,0
2000,Slovenia,Angola,G / FI,0.0,0,2,0,0,0,0,,2,0
2000,Slovakia,Angola,G / FI,0.0,0,0,1,0,0,0,1,0,0
2000,Portugal,Angola,G / FI,0.0,0,13,2,3,4,10,19,0,0
2000,Poland,Angola,G / AR,0.0,0,0,1,0,0,0,1,0,0
2000,Norway,Angola,G / FI,0.0,0,4,0,0,0,2,2,0,0
2000,Netherlands,Angola,G / JR,0.0,0,0,0,0,0,0,,135,0
2000,Netherlands,Angola,G / AR,0.0,0,0,3,37,156,146,342,1453,0
2000,Netherlands,Angola,G / FI,0.0,0,2193,9,530,21,1389,1949,1782,0
2000,Malta,Angola,G / FI,1.0,0,0,0,0,1,0,1,0,0
2000,Lithuania,Angola,G / FI,1.0,1,0,0,0,0,1,1,0,0
2000,Italy,Angola,G / FA,0.0,0,32,31,0,16,0,47,0,0
2000,Ireland,Angola,G / TR,0.0,0,0,0,1,0,0,1,0,0
2000,Ireland,Angola,G / FI,0.0,0,191,9,0,98,19,126,0,0
2000,Hungary,Angola,G / FI,7.0,0,5,0,3,2,5,10,2,0
2000,Greece,Angola,G / FI,0.0,0,1,1,0,1,0,2,2,0
2000,United Kingdom,Angola,G / BL,0.0,0,0,0,240,0,90,330,0,0
2000,United Kingdom,Angola,G / FI,0.0,0,800,70,200,205,220,695,0,0
2000,France,Angola,G / AR,0.0,0,173,32,0,90,0,122,0,0
2000,France,Angola,G / FI,0.0,0,611,115,0,248,0,363,0,0
2000,Finland,Angola,G / FI,0.0,0,2,0,7,1,1,9,0,0
2000,Spain,Angola,G / FI,0.0,0,60,9,19,24,15,67,0,0
2000,Denmark,Angola,G / AR,0.0,0,0,0,2,0,0,2,0,0
2000,Denmark,Angola,G / FI,0.0,0,4,0,5,0,0,5,0,0
2000,Germany,Angola,G / RA,52.0,0,111,2,28,6,106,142,26,0
2000,Germany,Angola,G / NA,176.0,0,346,12,64,268,21,365,161,0
2000,Switzerland,Angola,G / CA,0.0,0,0,0,166,0,0,166,0,0
2000,Switzerland,Angola,G / FI,414.0,0,378,2,193,268,95,558,431,0
2000,Belarus,Angola,G / FI,2.0,0,1,0,0,2,1,3,0,0
2000,Bulgaria,Angola,G / FI,5.0,0,0,0,4,0,1,5,0,0
2000,Belgium,Angola,G / AR,0.0,0,0,3,0,46,0,49,0,0
2000,Belgium,Angola,G / FI,0.0,0,198,40,0,65,1,106,0,0
2000,Austria,Angola,G / FA,0.0,0,82,2,0,44,32,78,0,0
2000,Sweden,Albania,G / AR,0.0,0,0,3,30,27,0,60,0,0
2000,Sweden,Albania,G / FI,0.0,0,83,1,0,57,3,61,0,0
2000,Romania,Albania,G / FI,0.0,0,2,0,2,0,0,2,0,0
2000,Portugal,Albania,G / FI,0.0,0,10,0,0,0,0,,0,0
2000,Poland,Albania,G / FI,0.0,0,1,0,0,0,0,,0,0
2000,Norway,Albania,G / AR,0.0,0,0,0,4,45,0,49,0,0
2000,Norway,Albania,G / FI,0.0,0,88,0,2,92,7,101,0,0
2000,Netherlands,Albania,G / JR,0.0,0,0,0,0,0,0,,25,0
2000,Netherlands,Albania,G / AR,0.0,0,0,0,9,52,14,75,89,0
2000,Netherlands,Albania,G / FI,0.0,0,216,0,6,1,229,236,61,0
2000,Luxembourg,Albania,G / FI,0.0,0,79,0,0,0,0,,0,0
2000,Italy,Albania,G / FA,0.0,0,169,38,0,97,1,136,0,0
2000,Iceland,Albania,G / AR,0.0,0,4,0,4,0,0,4,0,0
2000,Iceland,Albania,G / FI,4.0,0,1,0,0,4,0,4,1,0
2000,Ireland,Albania,G / FI,0.0,0,99,1,0,30,4,35,0,0
2000,Hungary,Albania,G / FI,1.0,0,2,0,0,1,2,3,0,0
2000,Greece,Albania,G / FI,0.0,0,1,0,0,9,0,9,0,0
2000,United Kingdom,Albania,G / BL,0.0,0,0,0,5,0,0,5,0,0
2000,United Kingdom,Albania,G / FI,0.0,0,1490,25,35,1480,395,1935,0,0
2000,France,Albania,G / AR,0.0,0,133,44,0,124,0,168,0,0
2000,France,Albania,G / FI,0.0,0,429,65,0,261,0,326,0,0
2000,Finland,Albania,G / AR,0.0,0,0,0,0,19,0,19,0,0
2000,Finland,Albania,G / FI,0.0,0,30,0,0,1,4,5,0,0
2000,Spain,Albania,G / FI,0.0,0,17,0,10,1,6,17,0,0
2000,Denmark,Albania,G / AR,0.0,0,0,0,0,7,0,7,11,0
2000,Denmark,Albania,G / FI,0.0,0,56,0,0,26,0,26,33,0
2000,Germany,Albania,G / RA,18.0,0,163,0,2,1,158,161,21,0
2000,Germany,Albania,G / NA,111.0,0,346,3,4,364,47,418,101,0
2000,Cyprus,Albania,U / FI,2.0,2,0,0,0,2,0,2,0,0
2000,Switzerland,Albania,G / CA,0.0,0,0,0,9,0,0,9,0,0
2000,Switzerland,Albania,G / FI,118.0,0,339,0,27,37,387,451,63,0
2000,Bulgaria,Albania,G / FI,4.0,0,1,0,0,5,0,5,0,0
2000,Belgium,Albania,G / AR,0.0,0,0,5,0,6,0,11,0,0
2000,Belgium,Albania,G / FI,0.0,0,2674,18,0,11,6,35,0,0
2000,Austria,Albania,G / FA,0.0,0,91,10,0,51,19,80,0,0
2000,Sweden,United Arab Emirates,G / FI,0.0,0,0,1,0,0,0,1,0,0
2000,Norway,United Arab Emirates,G / FI,0.0,0,1,0,0,0,0,,0,0
2000,Denmark,United Arab Emirates,G / AR,0.0,0,0,0,0,1,0,1,0,0
2000,Denmark,United Arab Emirates,G / FI,0.0,0,1,0,0,1,0,1,0,0
2000,Belgium,United Arab Emirates,G / FI,0.0,0,1,0,0,0,0,,0,0
2000,Sweden,Argentina,G / FI,0.0,0,2,0,0,0,0,,0,0
2000,Sweden,Argentina,G / AR,0.0,0,0,0,0,2,0,2,0,0
2000,Netherlands,Argentina,G / AR,0.0,0,0,0,0,0,0,,1,0
2000,Netherlands,Argentina,G / FI,0.0,0,0,0,0,0,1,1,0,0
2000,France,Argentina,G / FI,0.0,0,2,0,0,2,0,2,0,0
2000,Spain,Argentina,G / FI,0.0,0,2,0,0,1,0,1,0,0
2000,Denmark,Argentina,G / FI,0.0,0,1,0,0,0,0,,1,0
2000,Germany,Argentina,G / NA,0.0,0,1,0,0,1,0,1,0,0
2000,Ukraine,Armenia,G / FI,14.0,0,236,210,0,29,0,239,0,0
2000,Sweden,Armenia,G / AR,0.0,0,0,7,57,80,2,146,0,0
2000,Sweden,Armenia,G / FI,0.0,0,214,0,19,171,9,199,0,0
2000,Slovenia,Armenia,G / FI,37.0,0,40,0,0,0,40,40,37,0
2000,Slovakia,Armenia,G / FI,9.0,0,15,0,0,15,4,19,5,0
2000,Portugal,Armenia,G / FI,0.0,0,9,0,0,0,3,3,0,0
2000,Poland,Armenia,G / AR,0.0,0,0,1,0,59,0,60,0,0
2000,Poland,Armenia,G / FI,0.0,0,823,0,0,736,68,804,0,0
2000,Norway,Armenia,G / AR,0.0,0,0,0,12,86,0,98,0,0
2000,Norway,Armenia,G / FI,0.0,0,65,0,3,62,5,70,0,0
2000,Netherlands,Armenia,G / JR,0.0,0,0,0,0,0,0,,143,0
2000,Netherlands,Armenia,G / AR,0.0,0,0,10,71,234,138,453,1340,0
2000,Netherlands,Armenia,G / FI,0.0,0,812,2,40,8,1446,1496,445,0
2000,Luxembourg,Armenia,G / FI,0.0,0,4,0,0,0,0,,0,0
2000,Lithuania,Armenia,G / FI,0.0,0,1,0,0,0,1,1,1,1
2000,Italy,Armenia,G / FA,0.0,0,13,8,0,10,0,18,0,0
2000,Iceland,Armenia,G / FI,0.0,0,2,0,0,2,0,2,0,0
2000,Iceland,Armenia,G / AR,0.0,0,2,0,0,2,0,2,0,0
2000,Ireland,Armenia,G / FI,0.0,0,38,0,0,8,2,10,0,0
2000,Hungary,Armenia,G / FI,110.0,0,123,7,27,62,110,206,27,0
2000,Croatia,Armenia,G / FI,2.0,2,4,4,0,2,0,6,0,0
2000,France,Armenia,G / AR,0.0,0,218,52,0,124,0,176,0,0
2000,France,Armenia,G / FI,0.0,0,405,60,0,222,0,282,0,0
2000,Finland,Armenia,G / FI,0.0,0,9,0,0,2,0,2,0,0
2000,Estonia,Armenia,G / FI,1.0,0,0,0,0,0,0,,1,0
2000,Spain,Armenia,G / FI,0.0,0,534,21,36,399,404,860,0,0
2000,Denmark,Armenia,G / AR,0.0,0,0,10,7,150,0,167,109,0
2000,Denmark,Armenia,G / FI,0.0,0,297,1,3,284,0,288,101,0
2000,Germany,Armenia,G / RA,121.0,0,413,0,3,36,428,467,69,0
2000,Germany,Armenia,G / NA,529.0,0,903,11,19,1109,70,1209,275,0
2000,Switzerland,Armenia,G / CA,0.0,0,0,0,4,0,0,4,0,0
2000,Switzerland,Armenia,G / FI,219.0,0,368,0,7,231,135,373,232,0
2000,Belarus,Armenia,G / FI,0.0,0,7,0,0,0,6,6,1,0
2000,Bulgaria,Armenia,G / FI,190.0,0,418,0,0,235,47,282,326,0
2000,Belgium,Armenia,G / AR,0.0,0,0,0,0,38,1,39,0,0
2000,Belgium,Armenia,G / FI,0.0,0,1331,0,0,55,9,64,0,0
2000,Austria,Armenia,G / FA,0.0,0,165,20,0,54,45,119,0,0
2000,Switzerland,Australia,G / FI,0.0,0,1,0,0,0,1,1,0,0
2000,Norway,Austria,G / AR,0.0,0,0,0,0,2,0,2,0,0
2000,Netherlands,Austria,G / AR,0.0,0,0,0,0,0,0,,1,0
2000,Finland,Austria,G / FI,0.0,0,1,0,0,0,1,1,0,0
2000,Germany,Austria,G / NA,0.0,0,1,0,0,1,0,1,0,0
2000,Switzerland,Austria,G / FI,0.0,0,1,0,0,0,0,,1,0
2000,Austria,Austria,G / FA,0.0,0,1,1,0,1,0,2,0,0
2000,Ukraine,Azerbaijan,G / FI,9.0,0,101,73,0,28,0,101,6,0
2000,Sweden,Azerbaijan,G / AR,0.0,0,0,0,5,12,0,17,0,0
2000,Sweden,Azerbaijan,G / FI,0.0,0,60,0,0,34,2,36,0,0
2000,Slovenia,Azerbaijan,G / FI,0.0,0,5,0,0,0,1,1,4,0
2000,Slovakia,Azerbaijan,G / FI,0.0,0,0,0,0,3,0,3,0,0
2000,Poland,Azerbaijan,G / FI,0.0,0,140,0,0,27,26,53,0,0
2000,Norway,Azerbaijan,G / AR,0.0,0,0,0,3,28,0,31,0,0
2000,Norway,Azerbaijan,G / FI,0.0,0,35,0,3,33,1,37,0,0
2000,Netherlands,Azerbaijan,G / JR,0.0,0,0,0,0,0,0,,197,0
2000,Netherlands,Azerbaijan,G / AR,0.0,0,0,19,57,352,164,592,2631,0
2000,Netherlands,Azerbaijan,G / FI,0.0,0,1163,12,74,18,2713,2817,807,0
2000,Lithuania,Azerbaijan,G / FI,0.0,0,2,0,0,1,1,2,0,0
2000,Italy,Azerbaijan,G / FA,0.0,0,10,5,0,7,0,12,0,0
2000,Ireland,Azerbaijan,G / FI,0.0,0,14,5,0,0,0,5,0,0
2000,Hungary,Azerbaijan,G / FI,7.0,0,0,0,0,0,7,7,0,0
2000,Greece,Azerbaijan,G / FI,0.0,0,3,0,0,13,0,13,2,0
2000,France,Azerbaijan,G / AR,0.0,0,96,0,0,0,0,,0,0
2000,France,Azerbaijan,G / FI,0.0,0,198,58,0,72,0,130,0,0
2000,Finland,Azerbaijan,G / FI,0.0,0,6,1,2,0,0,3,0,0
2000,Spain,Azerbaijan,G / FI,0.0,0,61,2,4,24,31,61,0,0
2000,Denmark,Azerbaijan,G / AR,0.0,0,0,5,2,13,0,20,72,0
2000,Denmark,Azerbaijan,G / FI,0.0,0,146,0,0,120,0,120,58,0
2000,Germany,Azerbaijan,G / RA,26.0,0,177,3,0,7,153,163,40,0
2000,Germany,Azerbaijan,G / NA,1007.0,0,1418,239,13,1270,42,1564,740,0
2000,Switzerland,Azerbaijan,G / FI,52.0,0,78,0,3,15,33,51,65,0
2000,Belarus,Azerbaijan,G / FI,34.0,0,25,0,11,0,18,29,30,0
2000,Bosnia and Herzegovina,Azerbaijan,U / FI,1.0,0,0,1,0,0,0,1,0,0
2000,Bulgaria,Azerbaijan,G / FI,18.0,0,0,0,0,0,0,,18,0
2000,Belgium,Azerbaijan,G / AR,0.0,0,0,0,0,6,0,6,0,0
2000,Belgium,Azerbaijan,G / FI,0.0,0,440,0,0,14,1,15,0,0
2000,Austria,Azerbaijan,G / FA,0.0,0,24,12,0,13,6,31,0,0
2000,Armenia,Azerbaijan,G / FI,0.0,0,2,1,0,1,0,2,0,0
2000,Ukraine,Burundi,G / FI,1.0,0,0,1,0,0,0,1,0,0
2000,Turkey,Burundi,U / FI,1.0,1,0,0,0,0,1,1,0,0
2000,Sweden,Burundi,G / FI,0.0,0,11,0,4,2,0,6,0,0
2000,Romania,Burundi,G / FI,0.0,0,1,1,0,0,0,1,0,0
2000,Norway,Burundi,G / AR,0.0,0,0,0,0,1,0,1,0,0
2000,Norway,Burundi,G / FI,0.0,0,10,0,1,3,0,4,0,0
2000,Netherlands,Burundi,G / JR,0.0,0,0,0,0,0,0,,30,0
2000,Netherlands,Burundi,G / AR,0.0,0,0,11,11,28,17,67,237,0
2000,Netherlands,Burundi,G / FI,0.0,0,335,13,144,2,157,316,205,0
2000,Luxembourg,Burundi,G / FI,0.0,0,1,0,0,0,0,,0,0
2000,Italy,Burundi,G / FA,0.0,0,6,6,0,1,0,7,0,0
2000,Ireland,Burundi,G / FI,0.0,0,12,1,0,3,2,6,0,0
2000,Greece,Burundi,G / FI,0.0,0,3,3,0,4,0,7,3,0
2000,France,Burundi,G / FI,0.0,0,38,17,0,13,0,30,0,0
2000,Spain,Burundi,G / FI,0.0,0,2,1,0,4,1,6,0,0
2000,Denmark,Burundi,G / AR,0.0,0,0,0,1,2,0,3,0,0
2000,Denmark,Burundi,G / FI,0.0,0,35,9,21,1,0,31,12,0
2000,Germany,Burundi,G / NA,31.0,0,36,13,2,34,1,50,12,0
2000,Switzerland,Burundi,G / CA,0.0,0,0,0,3,0,0,3,0,0
2000,Switzerland,Burundi,G / FI,13.0,0,33,5,5,11,3,24,20,0
2000,Bulgaria,Burundi,G / FI,5.0,0,0,0,1,0,1,2,3,0
2000,Belgium,Burundi,G / AR,0.0,0,0,26,0,105,1,132,0,0
2000,Belgium,Burundi,G / FI,0.0,0,305,108,0,200,6,314,0,0
2000,Austria,Burundi,G / FA,0.0,0,8,2,0,0,0,2,0,0
2000,Netherlands,Belgium,G / FI,0.0,0,2,0,0,0,1,1,1,0
2000,Ireland,Belgium,G / FI,0.0,0,1,0,0,0,0,,0,0
2000,Ireland,Belgium,G / TR,0.0,0,0,0,2,0,0,2,0,0
2000,Switzerland,Belgium,G / FI,1.0,0,0,0,0,0,0,,0,0
2000,Austria,Belgium,G / FA,0.0,0,5,0,0,0,5,5,0,0
2000,Portugal,Benin,G / FI,0.0,0,2,0,0,0,1,1,0,0
2000,Netherlands,Benin,G / AR,0.0,0,0,0,1,2,0,3,4,0
2000,Netherlands,Benin,G / FI,0.0,0,29,0,0,0,12,12,18,0
2000,Luxembourg,Benin,G / FI,0.0,0,1,0,0,0,0,,0,0
2000,Italy,Benin,G / FA,0.0,0,6,3,0,1,0,4,0,0
2000,Ireland,Benin,G / FI,0.0,0,2,0,0,0,0,,0,0
2000,France,Benin,G / FI,0.0,0,18,0,0,13,0,13,0,0
2000,Spain,Benin,G / FI,0.0,0,1,0,0,0,1,1,0,0
2000,Denmark,Benin,G / FI,0.0,0,1,0,0,0,0,,1,0
2000,Germany,Benin,G / RA,1.0,0,6,0,0,0,7,7,0,0
2000,Germany,Benin,G / NA,5.0,0,51,0,1,43,1,45,10,0
2000,Switzerland,Benin,G / FI,1.0,0,0,0,0,2,0,2,0,0
2000,Belgium,Benin,G / FI,0.0,0,13,0,0,0,0,,0,0
2000,Austria,Benin,G / FA,0.0,0,6,0,0,2,2,4,0,0
2000,Ukraine,Burkina Faso,G / FI,0.0,0,4,0,0,4,0,4,0,0
2000,Slovenia,Burkina Faso,G / FI,1.0,0,0,0,0,0,1,1,0,0
2000,Romania,Burkina Faso,G / FI,0.0,0,1,0,0,0,0,,0,0
2000,Netherlands,Burkina Faso,G / AR,0.0,0,0,0,0,1,1,2,11,0
2000,Netherlands,Burkina Faso,G / FI,0.0,0,27,1,0,0,18,19,19,0
2000,Italy,Burkina Faso,G / FA,0.0,0,0,0,0,1,0,1,0,0
2000,Ireland,Burkina Faso,G / FI,0.0,0,3,1,0,0,1,2,0,0
2000,Hungary,Burkina Faso,G / FI,0.0,0,1,0,0,0,0,,1,0
2000,France,Burkina Faso,G / FI,0.0,0,24,0,0,2,0,2,0,0
2000,Spain,Burkina Faso,G / FI,0.0,0,2,0,0,0,0,,0,0
2000,Denmark,Burkina Faso,G / FI,0.0,0,2,0,0,2,0,2,0,0
2000,Germany,Burkina Faso,G / RA,1.0,0,15,0,0,1,13,14,2,0
2000,Germany,Burkina Faso,G / NA,10.0,0,626,0,0,475,3,478,161,0
2000,Switzerland,Burkina Faso,G / CA,0.0,0,0,0,2,0,0,2,0,0
2000,Switzerland,Burkina Faso,G / FI,16.0,0,37,0,1,16,15,32,21,0
2000,Belgium,Burkina Faso,G / FI,0.0,0,26,0,0,0,0,,0,0
2000,Austria,Burkina Faso,G / FA,0.0,0,5,0,0,0,5,5,0,0
2000,Ukraine,Bangladesh,G / FI,0.0,0,42,0,0,42,0,42,0,0
2000,Sweden,Bangladesh,G / AR,0.0,0,0,0,31,42,2,75,0,0
2000,Sweden,Bangladesh,G / FI,0.0,0,117,0,4,47,3,54,0,0
2000,Slovenia,Bangladesh,G / FI,8.0,0,270,0,0,13,31,44,234,0
2000,Slovakia,Bangladesh,G / FI,14.0,0,46,0,0,6,52,58,2,0
2000,Romania,Bangladesh,G / FI,34.0,31,226,0,0,276,2,278,0,0
2000,Poland,Bangladesh,G / FI,0.0,0,13,0,0,6,7,13,0,0
2000,Norway,Bangladesh,G / AR,0.0,0,0,0,0,21,0,21,0,0
2000,Norway,Bangladesh,G / FI,0.0,0,37,0,0,19,1,20,0,0
2000,Netherlands,Bangladesh,G / JR,0.0,0,0,0,0,0,0,,12,0
2000,Netherlands,Bangladesh,G / AR,0.0,0,0,0,0,14,5,19,38,0
2000,Netherlands,Bangladesh,G / FI,0.0,0,78,0,1,13,62,76,28,0
2000,Lithuania,Bangladesh,G / FI,1.0,1,0,0,0,1,5,6,0,0
2000,Italy,Bangladesh,G / FA,0.0,0,88,3,0,50,0,53,0,0
2000,Ireland,Bangladesh,G / FI,0.0,0,2,0,0,1,0,1,0,0
2000,Hungary,Bangladesh,G / FI,432.0,0,1656,0,0,1121,728,1849,239,0
2000,Greece,Bangladesh,G / FI,0.0,0,49,3,1,31,0,35,15,0
2000,United Kingdom,Bangladesh,G / BL,0.0,0,0,0,290,0,35,325,0,0
2000,United Kingdom,Bangladesh,G / FI,0.0,0,795,20,35,560,310,925,0,0
2000,France,Bangladesh,G / AR,0.0,0,762,131,0,541,0,672,0,0
2000,France,Bangladesh,G / FI,0.0,0,1054,142,0,899,0,1041,0,0
2000,Finland,Bangladesh,G / AR,0.0,0,0,0,0,3,0,3,0,0
2000,Finland,Bangladesh,G / FI,0.0,0,22,0,2,4,1,7,0,0
2000,Spain,Bangladesh,G / FI,0.0,0,106,0,0,4,90,94,0,0
2000,Denmark,Bangladesh,G / AR,0.0,0,0,0,0,12,0,12,4,0
2000,Denmark,Bangladesh,G / FI,0.0,0,24,0,0,15,0,15,19,0
2000,Germany,Bangladesh,G / RA,42.0,0,121,0,0,11,109,120,44,0
2000,Germany,Bangladesh,G / NA,179.0,0,205,0,3,293,8,304,81,0
2000,Cyprus,Bangladesh,U / FI,2.0,2,1,0,0,3,0,3,0,0
2000,Switzerland,Bangladesh,G / CA,0.0,0,0,0,20,0,0,20,0,0
2000,Switzerland,Bangladesh,G / FI,114.0,0,217,0,6,92,51,149,189,0
2000,Bosnia and Herzegovina,Bangladesh,U / FI,0.0,0,20,0,0,1,18,19,1,1
2000,Bulgaria,Bangladesh,G / FI,24.0,0,55,0,0,0,79,79,0,0
2000,Belgium,Bangladesh,G / AR,0.0,0,0,1,0,8,0,9,0,0
2000,Belgium,Bangladesh,G / FI,0.0,0,295,0,0,5,2,7,0,0
2000,Austria,Bangladesh,G / FA,0.0,0,305,0,0,40,270,310,0,0
2000,Sweden,Bulgaria,G / AR,0.0,0,0,0,2,5,0,7,0,0
2000,Sweden,Bulgaria,G / FI,0.0,0,18,0,1,13,0,14,0,0
2000,Portugal,Bulgaria,G / FI,0.0,0,2,0,0,0,2,2,0,0
2000,Poland,Bulgaria,G / AR,0.0,0,0,0,0,2,0,2,0,0
2000,Poland,Bulgaria,G / FI,0.0,0,340,0,0,345,17,362,0,0
2000,Norway,Bulgaria,G / AR,0.0,0,0,0,3,4,0,7,0,0
2000,Norway,Bulgaria,G / FI,0.0,0,12,0,0,2,3,5,0,0
2000,Netherlands,Bulgaria,G / JR,0.0,0,0,0,0,0,0,,3,0
2000,Netherlands,Bulgaria,G / AR,0.0,0,0,0,0,3,3,6,13,0
2000,Netherlands,Bulgaria,G / FI,0.0,0,26,0,0,2,29,31,6,0
2000,Ireland,Bulgaria,G / FI,0.0,0,153,0,0,96,14,110,0,0
2000,Hungary,Bulgaria,G / FI,1.0,0,7,0,0,2,5,7,1,0
2000,France,Bulgaria,G / FI,0.0,0,90,4,0,80,0,84,0,0
2000,Finland,Bulgaria,G / FI,0.0,0,13,0,0,0,0,,0,0
2000,Spain,Bulgaria,G / FI,0.0,0,9,0,0,0,6,6,0,0
2000,Denmark,Bulgaria,G / AR,0.0,0,0,0,0,1,0,1,0,0
2000,Denmark,Bulgaria,G / FI,0.0,0,12,0,0,10,0,10,0,0
2000,Germany,Bulgaria,G / RA,7.0,0,47,2,0,1,55,58,5,0
2000,Germany,Bulgaria,G / NA,8.0,0,72,0,0,66,155,221,7,0
2000,Cyprus,Bulgaria,U / FI,0.0,0,2,0,0,0,0,,2,2
2000,Switzerland,Bulgaria,G / CA,0.0,0,0,0,1,0,0,1,0,0
2000,Switzerland,Bulgaria,G / FI,43.0,0,58,0,5,30,44,79,27,0
2000,Belgium,Bulgaria,G / AR,0.0,0,0,0,0,8,0,8,0,0
2000,Belgium,Bulgaria,G / FI,0.0,0,1693,0,0,12,2,14,0,0
2000,Austria,Bulgaria,G / FA,0.0,0,22,0,0,4,14,18,0,0
2000,Sweden,Bahrain,G / FI,0.0,0,2,9,0,5,0,14,0,0
2000,Netherlands,Bahrain,G / JR,0.0,0,0,0,0,0,0,,1,0
2000,Netherlands,Bahrain,G / AR,0.0,0,0,0,0,1,0,1,2,0
2000,Netherlands,Bahrain,G / FI,0.0,0,1,0,0,0,3,3,0,0
2000,Ireland,Bahrain,G / FI,0.0,0,3,0,0,0,3,3,0,0
2000,Denmark,Bahrain,G / FI,0.0,0,1,0,0,0,0,,0,0
2000,Denmark,Bahrain,G / AR,0.0,0,0,0,0,4,0,4,0,0
2000,Bulgaria,Bahrain,G / FI,1.0,0,0,0,0,0,0,,1,0
2000,Belgium,Bahrain,G / FI,0.0,0,1,2,0,0,0,2,0,0
2000,Netherlands,Bahamas,G / FI,0.0,0,1,0,0,0,1,1,1,0
